"Name","Instance Count","Size (bytes)"
"java.lang.Byte",421,6736
"java.lang.annotation.Annotation[ ]",414,9888
"java.math.BigInteger",410,16400
"java.lang.Package$VersionInfo",409,16360
"jdk.internal.org.objectweb.asm.Label",402,22512
"org.apache.commons.logging.LogAdapter$Slf4jLocationAwareLog",401,9624
"ch.qos.logback.classic.Logger",393,18864
"java.lang.invoke.MethodTypeForm",389,12448
"org.springframework.core.annotation.AnnotationTypeMappings[ ]",380,10008
"jdk.internal.reflect.DirectConstructorHandleAccessor",378,9072
"org.springframework.core.annotation.MergedAnnotation[ ]",378,9960
"org.springframework.core.annotation.MergedAnnotationsCollection",378,9072
"jdk.jfr.internal.jfc.model.XmlEvent",366,14640
"org.springframework.boot.loader.net.protocol.nested.NestedUrlConnectionResources",357,11424
"java.time.LocalDateTime",352,8448
"java.util.ImmutableCollections$ListN",347,8328
"java.lang.invoke.LambdaFormEditor",342,5472
"java.lang.invoke.LambdaFormEditor$TransformKey",342,8208
"org.apache.catalina.Container[ ]",334,6368
"org.springframework.core.MethodParameter",331,21184
"java.io.ObjectStreamField",329,13160
"java.security.CodeSource",328,13120
"javax.management.MBeanParameterInfo[ ]",322,7512
"org.springframework.boot.autoconfigure.condition.ConditionMessage",318,5088
"org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome",315,7560
"org.springframework.boot.autoconfigure.condition.ConditionOutcome",315,7560
"java.util.ImmutableCollections$SetN",311,7464
"javax.management.Descriptor[ ]",311,7576
"java.lang.module.ModuleDescriptor$Requires",310,9920
"org.springframework.boot.loader.zip.FileDataBlock",308,9856
"java.io.ObjectStreamClass$FieldReflectorKey",307,7368
"java.lang.invoke.MethodHandles$Lookup",303,9696
"jdk.internal.org.objectweb.asm.MethodWriter",301,67424
"jdk.proxy2.$Proxy38",297,4752
"java.util.LinkedHashMap$LinkedKeyIterator",294,9408
"java.util.Vector",292,9344
"java.util.Hashtable$Entry[ ]",289,19568
"java.util.zip.ZipFile$CleanableResource",289,9248
"java.util.WeakHashMap$Entry",288,11520
"java.io.DataOutputStream",286,11440
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType[ ]",284,11320
"org.springframework.boot.loader.jar.NestedJarFileResources",284,9088
"org.springframework.boot.loader.net.protocol.jar.UrlJarFiles$$Lambda.0x0000000800145e58",284,4544
"org.springframework.boot.loader.net.protocol.jar.UrlJarManifest",284,6816
"org.springframework.boot.loader.net.protocol.jar.UrlNestedJarFile",284,27264
"org.springframework.boot.loader.net.protocol.jar.UrlNestedJarFile$$Lambda.0x0000000800154410",284,4544
"java.util.Hashtable",283,13584
"sun.reflect.generics.tree.FieldTypeSignature[ ]",276,5896
"java.util.concurrent.CopyOnWriteArrayList$COWIterator",275,6600
"java.util.TreeMap$EntryIterator",274,8768
"java.util.TreeMap$EntrySet",274,4384
"javax.management.ObjectName$Property",269,6456
"java.lang.invoke.LambdaFormEditor$Transform",268,12864
"sun.reflect.generics.factory.CoreReflectionFactory",268,6432
"java.security.Provider$Service",267,17088
"org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes",267,4272
"org.springframework.boot.loader.zip.ZipCentralDirectoryFileHeaderRecord",266,14896
"sun.security.util.KnownOIDs",264,10560
"sun.reflect.generics.tree.FormalTypeParameter[ ]",263,4616
"com.jprofiler.agent.triggers.nanoxml.XMLElement",261,12528
"org.springframework.core.type.classreading.SimpleAnnotationMetadata",261,14616
"org.springframework.core.type.classreading.SimpleMetadataReader",261,6264
"java.util.Hashtable$Enumerator",260,12480
"java.lang.Short",256,4096
"java.security.Principal[ ]",256,4096
"java.security.ProtectionDomain",256,10240
"java.security.ProtectionDomain$Key",256,4096
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl",254,6096
"org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider",248,7936
"java.security.Provider$UString",247,5928
"java.util.Collections$UnmodifiableMap",246,7872
"java.util.HashMap$EntryIterator",241,7712
"org.apache.catalina.LifecycleEvent",237,5688
"org.springframework.core.convert.support.GenericConversionService$ConverterAdapter",234,7488
"sun.nio.fs.UnixPath",233,7456
"java.net.InetAddress[ ]",231,5616
"org.springframework.beans.BeanMetadataAttribute",231,5544
"org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition",230,44160
"jdk.internal.reflect.ConstantPool",227,3632
"org.springframework.core.io.ClassPathResource",227,7264
"org.springframework.beans.MutablePropertyValues",226,5424
"java.rmi.server.UID",225,7200
"jdk.jfr.internal.query.ViewFile$ViewConfiguration",222,5328
"jdk.internal.org.objectweb.asm.Type",219,7008
"java.util.Optional",216,3456
"java.lang.Module",211,11816
"org.springframework.core.annotation.AnnotationTypeMapping",209,15048
"org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets",209,5016
"org.springframework.core.annotation.AnnotationTypeMapping[ ]",209,5488
"java.util.logging.LogManager$LoggerWeakRef",208,9984
"sun.security.pkcs11.SunPKCS11$Descriptor",208,8320
"jdk.internal.loader.AbstractClassLoaderValue$Sub",207,4968
"jdk.internal.reflect.DirectMethodHandleAccessor",203,6496
"java.util.LinkedList$Node",202,4848
"jdk.internal.org.objectweb.asm.Frame",200,9600
"jdk.internal.org.objectweb.asm.SymbolTable$Entry[ ]",200,160000
"java.io.ObjectOutputStream$HandleTable",198,7920
"org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet[ ]",195,5464
"java.util.zip.Inflater",191,12224
"java.util.zip.Inflater$InflaterZStreamRef",191,4584
"java.util.concurrent.atomic.AtomicReferenceArray",190,3040
"jdk.internal.module.ServicesCatalog$ServiceProvider",189,4536
"com.fasterxml.jackson.databind.type.ClassKey",188,4512
"java.time.LocalDate",186,4464
"sun.reflect.generics.scope.ClassScope",183,4392
"sun.rmi.transport.Transport$$Lambda.0x0000000800662110",181,2896
"java.util.logging.LogManager$LogNode",180,5760
"java.io.ObjectInputStream$HandleTable$HandleList[ ]",179,12136
"java.lang.invoke.MethodHandleNatives$CallSiteContext",179,5728
"java.util.HashMap$Values",174,2784
"sun.reflect.generics.repository.ClassRepository",173,5536
"sun.reflect.generics.tree.ClassSignature",173,4152
"sun.reflect.generics.tree.ClassTypeSignature[ ]",173,3992
"java.io.ObjectStreamClass$ClassDataSlot",172,4128
"com.sun.jmx.mbeanserver.MXBeanMapping[ ]",170,3392
"javax.management.ObjectName",169,5408
"java.util.Collections$SingletonList",167,4008
"java.io.ObjectStreamClass$ClassDataSlot[ ]",166,4000
"org.springframework.boot.loader.jar.NestedJarFile$NestedJarEntry",166,18592
"org.springframework.boot.loader.zip.ZipContent$Entry",166,5312
"com.jprofiler.agent.util.a.a.b.h$m",164,10496
"java.io.ObjectInputStream$FieldValues",164,5248
"java.io.ObjectInputStream$FieldValues[ ]",164,3936
"com.sun.jmx.mbeanserver.ConvertingMethod",159,5088
"org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$$Lambda.0x00000008005e5e48",159,3816
"java.security.SecureClassLoader$CodeSourceKey",157,2512
"com.jprofiler.agent.probe.structures.n",153,7344
"java.io.DataInputStream",153,4896
"java.util.HashMap$ValueIterator",153,4896
"org.springframework.core.type.classreading.SimpleAnnotationMetadataReadingVisitor$Source",153,2448
"java.util.concurrent.ConcurrentHashMap$ValueIterator",152,8512
"java.util.jar.Manifest",152,3648
"org.springframework.beans.factory.support.RootBeanDefinition",151,26576
"java.lang.invoke.MethodHandles$Lookup$ClassDefiner",150,4800
"java.lang.invoke.MethodHandles$Lookup$ClassFile",150,3600
"jdk.internal.org.objectweb.asm.AnnotationWriter",150,7200
"jdk.internal.org.objectweb.asm.ClassWriter",150,22800
"jdk.internal.org.objectweb.asm.SymbolTable",150,9600
"java.lang.invoke.MethodHandleImpl$AsVarargsCollector",146,7008
"jdk.internal.loader.NativeLibraries",145,4640
"java.util.Collections$UnmodifiableRandomAccessList",144,3456
"org.springframework.context.annotation.BeanMethod",144,3456
"java.net.InetAddress$InetAddressHolder",143,4576
"org.springframework.boot.loader.jar.ManifestInfo",143,3432
"org.springframework.boot.loader.zip.ZipContent",143,11440
"org.springframework.boot.loader.zip.ZipContent$Source",143,3432
"boolean[ ]",142,12160
"jdk.internal.loader.URLClassPath$Loader",142,3408
"org.springframework.boot.loader.net.protocol.nested.NestedLocation",142,3408
"java.lang.NoSuchMethodException",137,5480
"java.security.ProtectionDomain[ ]",137,3912
"java.util.HashMap$KeyIterator",137,4384
"jdk.proxy2.$Proxy30",137,2192
"java.io.ObjectInputStream$BlockDataInputStream",135,7560
"java.io.ObjectInputStream$HandleTable",135,4320
"java.io.ObjectInputStream$PeekInputStream",135,4320
"java.io.ObjectInputStream$ValidationList",135,2160
"java.lang.invoke.DirectMethodHandle$StaticAccessor",133,7448
"java.lang.module.ModuleDescriptor",133,8512
"java.net.URI",133,10640
"java.util.LinkedHashMap$LinkedEntrySet",132,3168
"jdk.internal.module.ModuleReferenceImpl",131,7336
"jdk.internal.module.SystemModuleFinders$2",131,3144
"java.lang.invoke.ConstantCallSite",129,3096
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ExclusiveNode",129,4128
"java.lang.Character",128,2048
"java.io.ObjectStreamField[ ]",127,3656
"java.lang.module.ModuleDescriptor$Provides",125,3000
"jdk.internal.module.SystemModuleFinders$3",125,2000
"org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor",125,9000
"java.lang.invoke.MethodHandle[ ]",123,22912
"java.lang.invoke.BoundMethodHandle$Species_LLL",121,5808
"java.lang.reflect.Parameter",120,4800
"sun.rmi.transport.ObjectEndpoint",120,2880
"java.beans.MethodRef",114,2736
"java.lang.Double",114,2736
"java.rmi.server.ObjID",114,2736
"java.lang.ThreadLocal$ThreadLocalMap$Entry",113,3616
"java.security.Permissions",113,2712
"java.lang.invoke.BoundMethodHandle$Species_LLLLL",112,6272
"com.sun.jmx.mbeanserver.MBeanAnalyzer$AttrMethods",110,2640
"javax.management.MBeanOperationInfo",109,4360
"java.net.InterfaceAddress",108,2592
"java.lang.ClassNotFoundException",105,4200
"java.lang.invoke.DirectMethodHandle$Interface",105,4200
"java.security.AccessControlContext",105,4200
"java.util.HashMap$KeySet",105,1680
"char[ ][ ]",103,2472
"java.util.Arrays$ArrayList",101,2424
"jdk.internal.org.objectweb.asm.FieldWriter",101,6464
"org.springframework.boot.loader.net.protocol.jar.JarUrlConnection",101,8080
"java.lang.invoke.InfoFromMemberName",100,2400
"java.lang.invoke.InnerClassLambdaMetafactory",100,10400
